order_id,user_id,age,city,order_time,day_type,cuisine,meal_type,restaurant_type,order_value,discount_applied,delivery_fee,time_taken_to_order,rating_given,is_repeat_order,mood,hunger_level,company,rainy_weather
45,4717,18,Bangalore,Afternoon,Weekend,North Indian,Lunch,Premium,999,No,99,11,1,No,Stressed,High,Partner,No
46,4107,41,Pune,Night,Weekday,Fast Food,Dinner,Budget,120,Yes,31,8,3,Yes,Lazy,Medium,Partner,No
47,3769,42,Mumbai,Afternoon,Weekend,North Indian,Dinner,Premium,536,No,98,12,1,Yes,Stressed,Low,Alone,Yes
48,3160,37,Chandigarh,Afternoon,Weekend,North Indian,Lunch,Premium,456,No,85,11,3,Yes,Happy,Medium,Alone,No
49,4466,26,Pune,Morning,Weekday,South Indian,Dinner,Mid-range,635,No,53,4,4,Yes,Lazy,Medium,Family,No
50,1222,34,Chandigarh,Night,Weekend,Biryani,Dinner,Premium,674,No,59,10,1,No,Happy,Low,Friends,No
51,3551,21,Hyderabad,Morning,Weekday,Biryani,Lunch,Premium,970,No,70,9,1,No,Happy,High,Partner,Yes
52,1830,27,Mumbai,Morning,Weekday,Chinese,Dinner,Budget,341,No,22,11,2,No,Stressed,High,Alone,No
53,4611,19,Mumbai,Afternoon,Weekday,Chinese,Lunch,Mid-range,941,Yes,45,6,2,No,Happy,High,Family,No
54,4276,32,Pune,Evening,Weekday,Fast Food,Dinner,Mid-range,285,No,50,5,4,Yes,Happy,Low,Alone,No
55,3551,27,Mumbai,Night,Weekend,North Indian,Dinner,Mid-range,615,No,42,11,1,No,Stressed,Low,Partner,No
56,2429,30,Bangalore,Evening,Weekday,Biryani,Dinner,Premium,999,Yes,68,14,3,No,Stressed,High,Alone,No
57,4118,20,Mumbai,Evening,Weekend,Chinese,Dinner,Mid-range,714,No,53,10,3,No,Lazy,High,Friends,No
58,1730,23,Chandigarh,Afternoon,Weekday,Biryani,Lunch,Premium,788,No,98,6,3,Yes,Lazy,High,Family,No
59,1632,32,Chandigarh,Afternoon,Weekday,Biryani,Dinner,Mid-range,330,No,87,13,1,Yes,Happy,Low,Alone,Yes
60,4968,25,Chandigarh,Morning,Weekday,Biryani,Lunch,Budget,280,Yes,23,5,4,Yes,Happy,Medium,Alone,No
61,2770,23,Chandigarh,Evening,Weekend,Chinese,Breakfast,Budget,333,No,38,4,3,Yes,Stressed,High,Alone,No
62,4666,20,Bangalore,Evening,Weekend,North Indian,Lunch,Premium,652,Yes,84,11,2,No,Stressed,Medium,Alone,Yes
63,4942,24,Delhi,Afternoon,Weekday,Chinese,Breakfast,Mid-range,487,No,69,7,3,No,Celebrating,Medium,Partner,Yes
64,3052,19,Hyderabad,Night,Weekend,Desserts,Snacks,Premium,853,No,79,10,2,No,Stressed,High,Friends,No
65,1820,44,Pune,Night,Weekday,Biryani,Breakfast,Budget,717,No,40,10,3,No,Happy,High,Friends,No
66,2035,40,Chandigarh,Morning,Weekend,North Indian,Dinner,Mid-range,385,No,54,7,4,Yes,Happy,Low,Alone,No
67,2047,37,Mumbai,Morning,Weekend,Biryani,Dinner,Budget,670,Yes,47,4,5,Yes,Lazy,High,Friends,No
68,3988,32,Chandigarh,Night,Weekday,Desserts,Dinner,Premium,999,No,99,14,1,No,Stressed,Medium,Friends,No
69,1185,20,Mumbai,Afternoon,Weekend,Biryani,Lunch,Premium,911,Yes,87,10,3,Yes,Celebrating,Medium,Friends,Yes
70,4493,37,Hyderabad,Afternoon,Weekday,South Indian,Dinner,Premium,969,No,73,12,2,Yes,Happy,High,Friends,Yes
71,2398,19,Hyderabad,Afternoon,Weekend,Chinese,Dinner,Budget,332,No,20,7,2,No,Lazy,Medium,Family,No
72,2633,20,Hyderabad,Night,Weekend,North Indian,Dinner,Budget,330,No,69,8,2,No,Lazy,Medium,Family,Yes
73,4868,20,Mumbai,Evening,Weekday,Fast Food,Dinner,Mid-range,999,Yes,91,14,2,No,Stressed,High,Family,Yes
74,3954,35,Chandigarh,Morning,Weekday,Biryani,Dinner,Premium,741,Yes,69,6,4,No,Happy,High,Partner,No
75,1520,38,Hyderabad,Morning,Weekend,North Indian,Snacks,Mid-range,784,Yes,63,7,5,Yes,Happy,Medium,Partner,No
76,4785,27,Bangalore,Afternoon,Weekday,Desserts,Lunch,Premium,998,No,99,10,1,No,Happy,Medium,Friends,Yes
77,2996,31,Mumbai,Afternoon,Weekend,Biryani,Dinner,Mid-range,786,No,20,4,2,No,Stressed,Medium,Family,No
78,2604,40,Mumbai,Evening,Weekday,South Indian,Lunch,Mid-range,799,No,76,8,1,No,Lazy,High,Alone,Yes
79,4020,33,Chandigarh,Night,Weekend,South Indian,Snacks,Premium,551,Yes,99,12,3,Yes,Happy,Medium,Alone,Yes
80,4142,41,Mumbai,Afternoon,Weekday,North Indian,Snacks,Premium,545,No,34,5,3,No,Happy,High,Partner,No
81,2200,42,Mumbai,Afternoon,Weekday,Fast Food,Dinner,Budget,495,Yes,34,4,3,Yes,Lazy,High,Family,No
82,2679,40,Hyderabad,Afternoon,Weekday,Chinese,Dinner,Mid-range,444,Yes,56,10,2,No,Stressed,Low,Friends,Yes
83,4622,39,Chandigarh,Morning,Weekend,Chinese,Dinner,Premium,981,Yes,82,9,5,Yes,Celebrating,Medium,Alone,No
84,4108,40,Hyderabad,Night,Weekday,Chinese,Dinner,Mid-range,382,No,55,12,3,No,Lazy,Medium,Alone,No
85,3869,40,Hyderabad,Morning,Weekday,South Indian,Lunch,Premium,999,No,83,9,2,No,Lazy,Medium,Family,Yes
86,1893,18,Chandigarh,Afternoon,Weekday,Fast Food,Dinner,Premium,490,No,48,10,2,No,Happy,High,Alone,No
87,1135,22,Pune,Morning,Weekend,Fast Food,Dinner,Mid-range,412,No,81,8,2,No,Stressed,Medium,Partner,Yes
88,2099,44,Hyderabad,Evening,Weekday,South Indian,Dinner,Budget,186,No,23,4,3,No,Happy,Medium,Partner,No
89,3827,39,Bangalore,Night,Weekday,Desserts,Dinner,Budget,551,No,20,10,4,Yes,Celebrating,Medium,Family,No
90,4867,44,Bangalore,Morning,Weekday,Chinese,Snacks,Mid-range,843,No,51,1,4,Yes,Stressed,High,Friends,No
91,2635,21,Mumbai,Evening,Weekday,Fast Food,Lunch,Mid-range,286,Yes,50,8,3,No,Happy,High,Alone,Yes
92,4126,26,Bangalore,Morning,Weekday,Desserts,Lunch,Premium,999,Yes,82,12,2,No,Celebrating,Low,Family,Yes
93,2226,27,Mumbai,Night,Weekday,Fast Food,Dinner,Premium,856,No,83,14,2,No,Stressed,Medium,Alone,No
94,2287,22,Pune,Evening,Weekday,South Indian,Dinner,Budget,411,Yes,56,9,5,Yes,Happy,High,Alone,No
95,2598,36,Chandigarh,Evening,Weekday,Desserts,Lunch,Premium,999,Yes,59,10,4,No,Happy,Medium,Partner,No
96,2124,38,Chandigarh,Evening,Weekday,Chinese,Snacks,Premium,774,Yes,65,6,4,No,Lazy,Medium,Friends,No
97,1701,34,Chandigarh,Night,Weekday,Chinese,Snacks,Premium,463,No,68,5,2,No,Stressed,High,Partner,No
98,4583,22,Bangalore,Evening,Weekend,South Indian,Snacks,Budget,412,No,40,2,4,Yes,Lazy,Medium,Alone,No
99,1486,26,Pune,Evening,Weekend,Fast Food,Snacks,Budget,146,Yes,29,1,4,Yes,Lazy,Medium,Friends,No
100,2148,27,Bangalore,Evening,Weekday,Fast Food,Dinner,Mid-range,747,No,35,7,4,Yes,Happy,Medium,Alone,No
101,1412,21,Bangalore,Evening,Weekend,Desserts,Breakfast,Budget,501,Yes,38,5,3,Yes,Stressed,High,Alone,No
102,1771,39,Pune,Afternoon,Weekday,North Indian,Snacks,Mid-range,683,Yes,64,6,4,Yes,Happy,High,Family,No
103,2935,37,Pune,Afternoon,Weekday,Fast Food,Dinner,Mid-range,399,No,59,12,4,Yes,Celebrating,Medium,Family,No
104,2925,18,Pune,Morning,Weekend,South Indian,Snacks,Mid-range,811,Yes,45,7,5,No,Happy,High,Partner,No
105,4414,28,Pune,Evening,Weekday,Fast Food,Snacks,Mid-range,582,No,88,14,1,No,Stressed,High,Partner,Yes
106,1574,42,Chandigarh,Evening,Weekday,Chinese,Lunch,Budget,100,No,32,4,2,No,Stressed,Medium,Alone,No
107,4581,31,Delhi,Morning,Weekend,Chinese,Dinner,Mid-range,115,Yes,52,12,3,No,Happy,High,Partner,Yes
108,4055,24,Delhi,Evening,Weekday,Chinese,Lunch,Budget,100,Yes,53,8,3,No,Lazy,Medium,Alone,Yes
109,4333,28,Pune,Night,Weekday,Biryani,Lunch,Mid-range,540,No,54,12,3,No,Lazy,High,Partner,No
110,1747,30,Delhi,Afternoon,Weekend,Biryani,Lunch,Budget,367,No,53,6,3,Yes,Lazy,Medium,Partner,Yes
111,2105,28,Delhi,Afternoon,Weekend,South Indian,Snacks,Mid-range,770,Yes,46,3,5,Yes,Celebrating,High,Family,No
112,2836,28,Pune,Night,Weekday,Fast Food,Snacks,Budget,100,Yes,40,12,2,No,Lazy,Medium,Friends,Yes
113,4154,32,Delhi,Evening,Weekday,Chinese,Dinner,Budget,421,No,34,10,2,No,Happy,High,Partner,No
114,3067,35,Bangalore,Morning,Weekday,Chinese,Dinner,Mid-range,305,No,44,8,1,No,Stressed,Low,Friends,No
115,3332,42,Mumbai,Evening,Weekend,Biryani,Lunch,Mid-range,999,No,58,13,3,No,Celebrating,Medium,Family,Yes
116,3044,18,Mumbai,Evening,Weekday,Desserts,Dinner,Mid-range,401,Yes,62,14,3,Yes,Happy,Medium,Partner,No
117,3731,18,Pune,Evening,Weekday,North Indian,Dinner,Mid-range,790,No,74,10,1,Yes,Lazy,High,Family,Yes
118,4211,39,Chandigarh,Evening,Weekday,Biryani,Breakfast,Premium,424,Yes,58,9,3,Yes,Happy,Low,Alone,No
119,4405,21,Pune,Evening,Weekday,South Indian,Dinner,Premium,667,No,79,10,2,Yes,Stressed,Medium,Partner,No
120,3038,42,Chandigarh,Night,Weekend,Biryani,Snacks,Premium,492,No,71,13,1,No,Stressed,Low,Friends,Yes
121,1886,32,Mumbai,Afternoon,Weekday,South Indian,Snacks,Mid-range,298,Yes,65,13,2,No,Stressed,High,Friends,Yes
122,1908,19,Pune,Evening,Weekend,Chinese,Dinner,Budget,710,No,31,8,2,No,Happy,High,Friends,Yes
123,2093,35,Hyderabad,Night,Weekday,North Indian,Breakfast,Budget,100,No,48,2,3,No,Stressed,High,Friends,No
124,4082,21,Bangalore,Afternoon,Weekend,Desserts,Breakfast,Mid-range,359,Yes,24,13,3,No,Happy,High,Partner,No
125,4632,26,Delhi,Night,Weekend,Desserts,Dinner,Budget,605,Yes,52,10,4,Yes,Lazy,High,Friends,Yes
126,1976,25,Chandigarh,Afternoon,Weekend,Desserts,Snacks,Budget,214,No,30,2,4,Yes,Happy,Medium,Alone,No
127,3226,34,Hyderabad,Afternoon,Weekend,South Indian,Lunch,Premium,975,No,82,14,2,Yes,Celebrating,Medium,Alone,Yes
128,1782,20,Delhi,Night,Weekday,Desserts,Snacks,Budget,430,No,20,7,3,Yes,Lazy,High,Alone,No
129,2364,28,Delhi,Morning,Weekday,Biryani,Lunch,Mid-range,586,Yes,66,9,3,No,Celebrating,Low,Alone,Yes
130,1821,30,Pune,Afternoon,Weekend,Chinese,Snacks,Premium,512,Yes,81,9,3,No,Stressed,Medium,Alone,No
131,1619,40,Delhi,Evening,Weekday,Fast Food,Snacks,Budget,260,No,33,11,2,No,Stressed,Low,Partner,No
132,1185,24,Bangalore,Evening,Weekday,Fast Food,Dinner,Mid-range,531,No,44,4,3,No,Stressed,High,Family,No
133,4553,22,Hyderabad,Evening,Weekday,Fast Food,Lunch,Mid-range,940,No,40,13,4,No,Happy,Medium,Friends,No
134,1690,22,Delhi,Afternoon,Weekend,South Indian,Dinner,Mid-range,523,Yes,59,10,4,No,Stressed,High,Family,No
135,3759,41,Pune,Morning,Weekend,Chinese,Dinner,Mid-range,850,No,65,4,4,No,Happy,High,Friends,No
136,3740,39,Bangalore,Afternoon,Weekday,North Indian,Lunch,Premium,796,Yes,67,14,2,No,Happy,Medium,Alone,Yes
137,3173,35,Mumbai,Evening,Weekday,North Indian,Snacks,Premium,896,No,70,14,1,No,Stressed,Low,Friends,No
138,4012,42,Hyderabad,Evening,Weekday,Chinese,Lunch,Budget,551,No,65,14,1,No,Happy,High,Alone,Yes
139,3469,40,Delhi,Evening,Weekday,Fast Food,Lunch,Budget,458,Yes,37,9,4,Yes,Happy,High,Partner,Yes
140,3601,26,Pune,Evening,Weekday,Fast Food,Lunch,Budget,434,Yes,29,1,4,Yes,Lazy,High,Alone,No
141,4133,40,Mumbai,Afternoon,Weekday,Fast Food,Dinner,Mid-range,826,No,55,5,3,Yes,Happy,High,Partner,No
142,1964,38,Mumbai,Night,Weekday,Chinese,Dinner,Premium,771,Yes,56,10,3,No,Lazy,High,Partner,No
143,3109,44,Chandigarh,Morning,Weekday,North Indian,Dinner,Budget,422,No,42,14,2,No,Stressed,Medium,Alone,Yes
144,2571,38,Bangalore,Afternoon,Weekday,South Indian,Breakfast,Premium,999,No,84,6,1,No,Stressed,High,Partner,No
145,1038,24,Delhi,Evening,Weekday,Fast Food,Lunch,Mid-range,646,Yes,52,14,3,No,Stressed,High,Partner,No
146,1806,26,Pune,Afternoon,Weekend,Biryani,Snacks,Mid-range,829,No,64,6,4,Yes,Happy,Medium,Alone,No
147,4335,39,Chandigarh,Evening,Weekend,Fast Food,Dinner,Mid-range,999,Yes,53,9,3,No,Lazy,High,Partner,No
148,2550,37,Bangalore,Afternoon,Weekday,Fast Food,Breakfast,Mid-range,875,Yes,45,5,3,Yes,Celebrating,Medium,Alone,No
149,4529,36,Chandigarh,Evening,Weekday,North Indian,Snacks,Premium,936,Yes,59,13,3,No,Happy,High,Alone,No
150,2500,39,Hyderabad,Afternoon,Weekday,Fast Food,Dinner,Premium,999,Yes,85,9,4,Yes,Happy,Medium,Friends,Yes
151,1133,40,Bangalore,Night,Weekend,Chinese,Lunch,Budget,610,No,53,5,4,Yes,Celebrating,Medium,Family,No
152,1797,24,Bangalore,Afternoon,Weekend,Biryani,Dinner,Premium,658,Yes,72,11,3,Yes,Lazy,Medium,Alone,No
153,1321,29,Delhi,Evening,Weekday,North Indian,Dinner,Budget,345,Yes,20,3,3,No,Stressed,Medium,Partner,No
154,4003,38,Bangalore,Night,Weekday,Fast Food,Breakfast,Premium,852,No,50,12,3,No,Happy,High,Family,No
155,1608,43,Chandigarh,Evening,Weekday,Desserts,Lunch,Mid-range,658,Yes,38,14,2,No,Lazy,High,Friends,Yes
156,3362,40,Bangalore,Evening,Weekday,Chinese,Lunch,Budget,100,No,57,8,3,No,Happy,High,Alone,No
157,2307,24,Delhi,Evening,Weekday,Desserts,Lunch,Budget,462,No,53,10,3,No,Celebrating,High,Alone,Yes
158,2835,32,Delhi,Evening,Weekday,South Indian,Dinner,Budget,334,Yes,28,5,3,Yes,Stressed,High,Partner,No
159,3662,24,Hyderabad,Night,Weekend,Fast Food,Breakfast,Premium,778,No,80,11,2,No,Lazy,Low,Partner,No
160,1892,23,Chandigarh,Morning,Weekend,Desserts,Lunch,Mid-range,812,Yes,78,8,4,Yes,Happy,Medium,Family,Yes
161,3923,35,Mumbai,Night,Weekend,Fast Food,Breakfast,Budget,210,No,33,13,1,No,Stressed,Medium,Alone,Yes
162,4343,20,Mumbai,Evening,Weekday,Chinese,Dinner,Mid-range,838,No,42,11,1,No,Stressed,Medium,Alone,Yes
163,2588,28,Bangalore,Night,Weekday,Desserts,Lunch,Mid-range,814,No,20,7,3,No,Happy,High,Partner,No
164,1893,31,Hyderabad,Morning,Weekend,North Indian,Dinner,Budget,487,Yes,40,6,3,Yes,Stressed,Low,Alone,No
165,4243,26,Pune,Night,Weekday,Chinese,Lunch,Budget,237,Yes,20,4,5,Yes,Lazy,Medium,Alone,No
166,2816,37,Bangalore,Morning,Weekend,South Indian,Dinner,Premium,673,No,80,10,3,Yes,Stressed,Medium,Friends,No
167,2042,32,Hyderabad,Evening,Weekday,Biryani,Snacks,Mid-range,362,Yes,77,9,4,Yes,Happy,Medium,Alone,Yes
168,4819,20,Chandigarh,Evening,Weekend,Fast Food,Breakfast,Mid-range,604,No,79,8,2,Yes,Lazy,High,Family,Yes
169,1079,21,Chandigarh,Evening,Weekday,Desserts,Breakfast,Premium,999,Yes,81,13,1,Yes,Lazy,High,Friends,Yes
170,1382,29,Chandigarh,Evening,Weekday,South Indian,Lunch,Budget,559,Yes,20,4,5,Yes,Celebrating,Medium,Family,No
171,3011,40,Chandigarh,Afternoon,Weekday,Fast Food,Breakfast,Premium,743,Yes,74,5,4,Yes,Happy,Medium,Friends,No
172,4091,34,Chandigarh,Evening,Weekday,Chinese,Dinner,Budget,211,No,52,12,2,No,Happy,High,Alone,Yes
173,1437,19,Hyderabad,Afternoon,Weekend,Chinese,Breakfast,Mid-range,442,Yes,37,1,5,No,Happy,Low,Friends,No
174,2137,41,Hyderabad,Evening,Weekday,Desserts,Lunch,Mid-range,492,Yes,41,10,3,No,Happy,Low,Alone,No
175,1860,24,Delhi,Evening,Weekend,Chinese,Dinner,Premium,600,No,83,12,4,Yes,Happy,Medium,Friends,No
176,2274,28,Mumbai,Morning,Weekend,Desserts,Snacks,Mid-range,544,Yes,53,7,3,Yes,Stressed,High,Friends,No
177,1931,28,Chandigarh,Evening,Weekend,Biryani,Lunch,Mid-range,738,No,70,11,2,Yes,Stressed,High,Family,No
178,2683,26,Pune,Evening,Weekend,Biryani,Snacks,Premium,893,Yes,86,8,4,No,Celebrating,High,Family,No
179,2895,27,Hyderabad,Afternoon,Weekend,South Indian,Lunch,Budget,593,No,69,12,1,No,Lazy,High,Partner,Yes
180,4525,32,Pune,Night,Weekday,North Indian,Dinner,Budget,353,No,32,1,3,No,Stressed,Low,Alone,No
181,1388,41,Pune,Evening,Weekend,Desserts,Breakfast,Premium,787,No,80,6,4,Yes,Stressed,Medium,Alone,No
182,1366,32,Pune,Afternoon,Weekday,Desserts,Snacks,Premium,795,No,96,8,3,Yes,Celebrating,Medium,Alone,No
183,2083,36,Delhi,Morning,Weekday,South Indian,Snacks,Mid-range,424,Yes,45,1,5,Yes,Celebrating,Medium,Alone,No
184,2383,26,Hyderabad,Evening,Weekday,Desserts,Lunch,Budget,567,No,47,6,2,No,Happy,High,Friends,Yes
185,3189,21,Pune,Afternoon,Weekend,Fast Food,Snacks,Mid-range,637,No,20,11,1,No,Stressed,Medium,Friends,No
186,4659,40,Chandigarh,Afternoon,Weekday,South Indian,Dinner,Mid-range,674,No,67,1,4,Yes,Stressed,Medium,Alone,No
187,4956,19,Bangalore,Morning,Weekday,Biryani,Breakfast,Mid-range,697,No,40,1,3,Yes,Celebrating,Medium,Friends,No
188,4365,21,Pune,Evening,Weekday,South Indian,Lunch,Mid-range,809,No,70,12,3,Yes,Happy,High,Friends,No
189,3447,22,Delhi,Evening,Weekday,Chinese,Lunch,Mid-range,954,No,33,9,3,Yes,Celebrating,Medium,Partner,No
190,3211,42,Hyderabad,Morning,Weekday,Desserts,Dinner,Budget,454,No,37,2,5,Yes,Celebrating,Medium,Alone,No
191,3892,37,Delhi,Evening,Weekday,Desserts,Dinner,Mid-range,820,No,45,6,3,No,Stressed,Medium,Friends,No
192,2306,39,Pune,Night,Weekday,North Indian,Lunch,Budget,631,No,20,8,2,No,Happy,Medium,Partner,No
193,3894,24,Hyderabad,Night,Weekday,Chinese,Lunch,Mid-range,673,Yes,52,12,2,No,Lazy,Medium,Family,No
194,3188,19,Bangalore,Night,Weekday,Fast Food,Dinner,Budget,361,Yes,55,14,1,Yes,Happy,Medium,Alone,Yes
195,3820,30,Pune,Night,Weekend,Chinese,Snacks,Mid-range,628,Yes,44,14,3,Yes,Lazy,Medium,Alone,No
196,1889,36,Delhi,Afternoon,Weekend,Desserts,Snacks,Premium,689,Yes,86,10,3,No,Lazy,Medium,Friends,No
197,4362,27,Mumbai,Afternoon,Weekday,Biryani,Lunch,Mid-range,286,Yes,56,5,2,No,Stressed,High,Alone,No
198,4571,25,Chandigarh,Evening,Weekday,Fast Food,Snacks,Mid-range,999,Yes,41,14,4,Yes,Happy,High,Partner,No
199,2496,21,Delhi,Evening,Weekend,Chinese,Dinner,Mid-range,667,No,65,8,3,Yes,Happy,Medium,Friends,Yes
200,4391,43,Hyderabad,Night,Weekday,Chinese,Dinner,Mid-range,604,No,72,1,5,Yes,Happy,High,Alone,Yes
201,3126,29,Pune,Afternoon,Weekend,South Indian,Breakfast,Budget,100,No,20,2,4,Yes,Lazy,Medium,Friends,No
202,1473,38,Chandigarh,Evening,Weekday,North Indian,Lunch,Mid-range,596,No,65,6,3,Yes,Happy,High,Friends,No
203,3325,44,Pune,Evening,Weekend,Chinese,Snacks,Mid-range,110,Yes,49,6,5,Yes,Lazy,Low,Alone,No
204,4326,34,Hyderabad,Evening,Weekday,North Indian,Snacks,Budget,771,Yes,39,3,4,Yes,Lazy,High,Partner,No
205,1845,20,Pune,Evening,Weekend,Fast Food,Dinner,Premium,999,No,86,10,2,No,Stressed,Medium,Friends,No
206,1884,28,Mumbai,Afternoon,Weekend,North Indian,Breakfast,Mid-range,702,No,66,10,2,No,Lazy,High,Alone,No
207,4014,41,Chandigarh,Night,Weekday,Chinese,Dinner,Mid-range,780,Yes,65,14,2,Yes,Happy,Medium,Alone,Yes
208,1935,35,Chandigarh,Evening,Weekday,Desserts,Dinner,Mid-range,687,No,49,10,3,Yes,Happy,High,Partner,Yes
209,1834,34,Hyderabad,Evening,Weekday,Chinese,Lunch,Mid-range,877,Yes,26,6,5,Yes,Happy,Medium,Partner,No
210,4663,40,Mumbai,Afternoon,Weekend,Biryani,Dinner,Budget,529,No,42,3,2,No,Happy,Low,Family,Yes
211,4610,26,Delhi,Evening,Weekend,South Indian,Breakfast,Premium,614,Yes,61,10,5,Yes,Celebrating,Low,Partner,No
